연도,역명,승차총승객수,하차총승객수,총이용량
2022,건대입구,35800,38542,74342
2022,교대,33746,37815,71561
2022,구로디지털단지,60359,60335,120694
2022,구의,23939,23552,47491
2022,당산,18231,21128,39359
2022,대림,23470,23930,47400
2022,문래,21239,21538,42777
2022,방배,16036,16883,32919
2022,봉천,23682,21644,45326
2022,사당,36489,39801,76290
2022,삼성,52489,51923,104412
2022,상왕십리,14213,13699,27912
2022,성수,37819,40772,78591
2022,시청,22937,22052,44989
2022,신당,13587,14258,27845
2022,신대방,26247,25659,51906
2022,신도림,47620,47339,94959
2022,신림,62877,61917,124794
2022,신설동,3522,3708,7230
2022,아현,9899,9562,19461
2022,양천구청,6775,7161,13936
2022,영등포구청,22864,23363,46227
2022,왕십리,15674,13798,29472
2022,용답,2621,2577,5198
2022,용두,2419,2510,4929
2022,이대,12498,13094,25592
2022,잠실,69885,69051,138936
2022,잠실나루,14385,13647,28032
2022,충정로,9560,10091,19651
2022,한양대,6739,6869,13608
2022,합정,31769,33136,64905
2022,홍대입구,57310,59625,116935
2022,시청,7036,6120,13156
2022,신당,10320,10886,21206
2022,상왕십리,9222,8674,17896
2022,왕십리,12464,11065,23529
2022,한양대,6538,6293,12831
2022,성수,17929,19777,37706
2022,건대입구,32797,34819,67616
2022,구의,15359,15137,30496
2022,잠실나루,6888,6758,13646
2022,잠실,60847,58266,119113
2022,삼성,27958,27740,55698
2022,강남,60515,59780,120295
2022,교대,15895,17914,33809
2022,방배,9138,9411,18549
2022,사당,28402,31021,59423
2022,봉천,16146,15061,31207
2022,신림,47240,45940,93180
2022,신대방,18637,18169,36806
2022,구로디지털단지,32316,31994,64310
2022,대림,16817,17773,34590
2022,신도림,36645,37148,73793
2022,문래,11239,11732,22971
2022,영등포구청,11818,12321,24139
2022,당산,11426,12499,23925
2022,합정,26459,28046,54505
2022,홍대입구,58826,62640,121466
2022,이대,9073,9691,18764
2022,아현,6545,6335,12880
2022,충정로,5107,5317,10424
2022,용답,1993,1994,3987
2022,신설동,3201,3326,6527
2022,양천구청,4102,4253,8355
2022,용두,1696,1639,3335
2022,시청,5038,4060,9098
2022,신당,7318,7725,15043
2022,상왕십리,6231,6251,12482
2022,왕십리,8510,7814,16324
2022,한양대,1987,2154,4141
2022,성수,12457,13292,25749
2022,건대입구,24608,25544,50152
2022,구의,10463,10625,21088
2022,잠실나루,4569,4816,9385
2022,잠실,44557,41825,86382
2022,삼성,20078,19485,39563
2022,강남,33870,32354,66224
2022,교대,9310,10445,19755
2022,방배,6284,6667,12951
2022,사당,19329,21450,40779
2022,봉천,11298,11176,22474
2022,신림,34676,33117,67793
2022,신대방,13847,13732,27579
2022,구로디지털단지,21940,21522,43462
2022,대림,12846,13140,25986
2022,신도림,25126,25449,50575
2022,문래,6785,7046,13831
2022,영등포구청,7202,7598,14800
2022,당산,7604,8252,15856
2022,합정,19238,19963,39201
2022,홍대입구,45921,44982,90903
2022,이대,6310,6983,13293
2022,아현,4693,4731,9424
2022,충정로,3400,3725,7125
2022,용답,1521,1500,3021
2022,신설동,2837,3072,5909
2022,양천구청,2941,3085,6026
2022,용두,959,937,1896
2022,용두,2335,2423,4758
2022,양천구청,6670,7054,13724
2022,신설동,3143,3238,6381
2022,용답,2527,2617,5144
2022,충정로,9610,10025,19635
2022,이대,11878,12798,24676
2022,홍대입구,49806,50788,100594
2022,합정,29018,29899,58917
2022,당산,17617,20631,38248
2022,영등포구청,22973,23544,46517
2022,문래,21304,21584,42888
2022,신도림,44858,44104,88962
2022,대림,23362,23746,47108
2022,구로디지털단지,59721,60233,119954
2022,신대방,25638,25207,50845
2022,신림,60732,57854,118586
2022,봉천,23478,22286,45764
2022,사당,34247,37503,71750
2022,방배,15813,16478,32291
2022,교대,33745,37667,71412
2022,강남,86972,84796,171768
2022,삼성,50835,51226,102061
2022,잠실,64779,64626,129405
2022,잠실나루,14176,13873,28049
2022,구의,23013,23157,46170
2022,건대입구,32965,34829,67794
2022,성수,36921,39531,76452
2022,한양대,6502,6873,13375
2022,왕십리,14365,12333,26698
2022,상왕십리,13596,13349,26945
2022,신당,13102,13557,26659
2022,시청,22481,21847,44328
2022,아현,9578,9292,18870
2022,용두,2258,2377,4635
2022,양천구청,6690,7114,13804
2022,신설동,3225,3225,6450
2022,용답,2461,2519,4980
2022,충정로,9885,10301,20186
2022,아현,9978,9814,19792
2022,이대,12099,12874,24973
2022,홍대입구,51041,51762,102803
2022,합정,29837,30798,60635
2022,당산,17596,20540,38136
2022,영등포구청,23515,23729,47244
2022,문래,21732,21966,43698
2022,신도림,45109,44212,89321
2022,대림,22680,23428,46108
2022,구로디지털단지,60101,60296,120397
2022,신대방,25584,25168,50752
2022,신림,61582,60628,122210
2022,봉천,23283,22028,45311
2022,사당,35225,38314,73539
2022,방배,16287,16982,33269
2022,교대,34511,38936,73447
2022,강남,89258,87157,176415
2022,삼성,52846,52687,105533
2022,잠실,66829,66520,133349
2022,잠실나루,14215,14055,28270
2022,구의,23454,23366,46820
2022,건대입구,33189,34920,68109
2022,성수,38340,40973,79313
2022,한양대,6698,7035,13733
2022,왕십리,15001,12693,27694
2022,상왕십리,13856,13681,27537
2022,신당,13148,13825,26973
2022,시청,23778,22743,46521
2022,시청,23644,22461,46105
2022,신당,12979,13643,26622
2022,상왕십리,13705,13556,27261
2022,왕십리,14997,12498,27495
2022,한양대,6882,7276,14158
2022,성수,38123,40786,78909
2022,건대입구,33270,35293,68563
2022,구의,23183,22949,46132
2022,잠실나루,14140,13580,27720
2022,잠실,67271,67606,134877
2022,삼성,52432,52235,104667
2022,강남,87834,85411,173245
2022,교대,34409,38731,73140
2022,방배,16089,16860,32949
2022,사당,35068,38291,73359
2022,봉천,22923,21656,44579
2022,신림,61441,60475,121916
2022,신대방,25215,24792,50007
2022,구로디지털단지,59366,59222,118588
2022,대림,22714,23250,45964
2022,신도림,45623,44751,90374
2022,문래,21150,21525,42675
2022,영등포구청,22668,23203,45871
2022,당산,17593,20400,37993
2022,합정,30220,30838,61058
2022,홍대입구,51272,52155,103427
2022,이대,12061,12662,24723
2022,아현,9560,9166,18726
2022,충정로,9740,10259,19999
2022,용답,2521,2565,5086
2022,신설동,3237,3363,6600
2022,양천구청,6599,7022,13621
2022,용두,2200,2273,4473
2022,용두,2259,2330,4589
2022,양천구청,6605,7078,13683
2022,신설동,3367,3392,6759
2022,용답,2525,2582,5107
2022,충정로,9663,10144,19807
2022,아현,9618,9537,19155
2022,이대,12298,12871,25169
2022,홍대입구,53135,54210,107345
2022,합정,30694,31763,62457
2022,당산,17490,20448,37938
2022,영등포구청,23034,23257,46291
2022,문래,21365,21690,43055
2022,신도림,46183,45513,91696
2022,대림,22617,23078,45695
2022,구로디지털단지,59515,59456,118971
2022,신대방,25380,25027,50407
2022,신림,61880,60695,122575
2022,봉천,22802,21541,44343
2022,사당,35641,38657,74298
2022,방배,15889,16837,32726
2022,교대,34352,38733,73085
2022,강남,88800,86176,174976
2022,삼성,51985,52135,104120
2022,잠실,67588,67405,134993
2022,잠실나루,14198,13822,28020
2022,구의,23147,23129,46276
2022,건대입구,33964,36095,70059
2022,성수,38518,41057,79575
2022,한양대,6760,6853,13613
2022,왕십리,15055,12718,27773
2022,상왕십리,13851,13833,27684
2022,신당,12914,13585,26499
2022,시청,23992,22778,46770
2022,시청,23053,22076,45129
2022,신당,13709,14421,28130
2022,상왕십리,14259,13930,28189
2022,왕십리,15777,13430,29207
2022,한양대,6764,6975,13739
2022,성수,38263,41347,79610
2022,건대입구,35679,38014,73693
2022,구의,23552,23510,47062
2022,잠실나루,14157,13648,27805
2022,잠실,69692,69282,138974
2022,삼성,51995,51864,103859
2022,강남,92109,89913,182022
2022,교대,34541,39052,73593
2022,방배,16412,16989,33401
2022,사당,36555,39892,76447
2022,봉천,23410,21848,45258
2022,신림,63065,61543,124608
2022,신대방,26186,25311,51497
2022,구로디지털단지,59640,59669,119309
2022,대림,23083,23589,46672
2022,신도림,47111,46943,94054
2022,문래,21296,21586,42882
2022,영등포구청,22801,23284,46085
2022,당산,18078,20907,38985
2022,합정,32668,34199,66867
2022,홍대입구,57559,59788,117347
2022,이대,12802,13430,26232
2022,아현,9924,9579,19503
2022,충정로,9688,10179,19867
2022,용답,2593,2617,5210
2022,신설동,3571,3605,7176
2022,양천구청,6683,7223,13906
2022,용두,2459,2509,4968
2022,용두,1749,1777,3526
2022,양천구청,4190,4298,8488
2022,신설동,3255,3267,6522
2022,용답,2008,2012,4020
2022,충정로,5111,5547,10658
2022,아현,6761,6644,13405
2022,이대,9262,9650,18912
2022,홍대입구,63354,66211,129565
2022,합정,27867,29613,57480
2022,당산,11694,12807,24501
2022,영등포구청,12719,13282,26001
2022,문래,11697,12307,24004
2022,신도림,37671,38059,75730
2022,대림,16604,17688,34292
2022,구로디지털단지,32413,31999,64412
2022,신대방,18666,18174,36840
2022,신림,48103,46495,94598
2022,봉천,16295,15314,31609
2022,사당,28815,31814,60629
2022,방배,9099,9284,18383
2022,교대,16184,18197,34381
2022,강남,61843,60249,122092
2022,삼성,28176,28283,56459
2022,잠실,60696,58670,119366
2022,잠실나루,6753,6702,13455
2022,구의,15604,15382,30986
2022,건대입구,33201,35238,68439
2022,성수,19032,21324,40356
2022,한양대,3350,3440,6790
2022,왕십리,12259,10647,22906
2022,상왕십리,9184,8953,18137
2022,신당,10331,10976,21307
2022,시청,7655,6573,14228
2022,시청,5505,4399,9904
2022,신당,7750,8216,15966
2022,상왕십리,6472,6525,12997
2022,왕십리,9397,8149,17546
2022,한양대,3167,3256,6423
2022,성수,13839,14648,28487
2022,건대입구,25753,26300,52053
2022,구의,10838,11075,21913
2022,잠실나루,4683,4844,9527
2022,잠실,47523,44419,91942
2022,삼성,19624,18701,38325
2022,강남,35106,32806,67912
2022,교대,9862,10929,20791
2022,방배,6262,6766,13028
2022,사당,20188,21859,42047
2022,봉천,11421,11409,22830
2022,신림,35219,35149,70368
2022,신대방,14041,13784,27825
2022,구로디지털단지,22203,22088,44291
2022,대림,12922,13107,26029
2022,신도림,25969,26243,52212
2022,문래,7492,7700,15192
2022,영등포구청,7462,8112,15574
2022,당산,7602,8251,15853
2022,합정,20404,21398,41802
