연도,역명,총승차,총하차,총이용량
2026,신당,3205680,3343140,6548820
2026,신대방,5173395,4960051,10133446
2026,신도림,10188668,9774550,19963218
2026,신림,11575877,11360149,22936026
2026,신설동,852554,837813,1690367
2026,아현,2293323,2168080,4461403
2026,양천구청,1395362,1466979,2862341
2026,영등포구청,4664669,4805713,9470382
2026,왕십리,3455933,3119835,6575768
2026,용답,647527,647435,1294962
2026,용두,482078,475316,957394
2026,이대,3560313,3812540,7372853
2026,잠실,17133549,16763823,33897372
2026,잠실나루,3149322,3065461,6214783
2026,충정로,2067947,2211745,4279692
2026,한양대,2422458,2640121,5062579
2026,합정,6760757,7368146,14128903
2026,홍대입구,15844362,16921068,32765430
